date,.rep,.sim,.sim_growth_rate
2021 Q2,1,65164.60693090953,-0.0025176729645701723
2021 Q3,1,65691.12125611021,0.008079759090067418
2021 Q4,1,66141.88905050885,0.006861928762659231
2022 Q1,1,66360.08785233175,0.003298950256111821
2022 Q2,1,66698.9903168528,0.0051070225415492665
2022 Q3,1,66463.51431834602,-0.003530428232693672
2022 Q4,1,66477.47124628941,2.099938302471127e-4
2023 Q1,1,67021.6379459681,0.008185731037551491
2021 Q2,10,65160.164343856086,-0.002585676168776252
2021 Q3,10,65287.71953952244,0.0019575640569786668
2021 Q4,10,65270.5852332932,-2.624430191480176e-4
2022 Q1,10,65584.87543275171,0.0048151889298244654
2022 Q2,10,64994.93039062383,-0.008995138562591154
2022 Q3,10,64616.80864252784,-0.005817711409543014
2022 Q4,10,64442.561986034496,-0.002696615016338999
2023 Q1,10,64365.159482820396,-0.0012011084107871328
2021 Q2,100,65527.34360353166,0.0030347800824011006
2021 Q3,100,66132.34591122638,0.009232822123161899
2021 Q4,100,67625.86838806176,0.022583842388416597
2022 Q1,100,68704.46510823345,0.015949469424663132
2022 Q2,100,69270.60463834256,0.008240214507415855
2022 Q3,100,69410.17518360693,0.0020148596362492555
2022 Q4,100,70466.85043986744,0.015223636209897862
2023 Q1,100,70161.68377719398,-0.004330641440174476
2021 Q2,1000,65889.37069454184,0.008576371479914746
2021 Q3,1000,66836.53482355393,0.014375067162244903
2021 Q4,1000,67759.3016547261,0.013806323646314844
2022 Q1,1000,68859.7910136818,0.016241155562129794
2022 Q2,1000,69198.46579980296,0.004918324339001634
2022 Q3,1000,69775.87738590385,0.008344283062162061
2022 Q4,1000,69725.65085229994,-7.198266146640764e-4
2023 Q1,1000,70006.48584120748,0.004027714126361381
2021 Q2,1001,65394.56140663316,0.001002267327561146
2021 Q3,1001,65430.90766012785,5.557993312117482e-4
2021 Q4,1001,64915.93907235935,-0.007870417913861671
2022 Q1,1001,65789.67508879238,0.013459498990827434
2022 Q2,1001,65617.64945794383,-0.0026147815841374156
2022 Q3,1001,66043.61119363217,0.006491572605954898
2022 Q4,1001,66954.90561824627,0.013798373652559537
2023 Q1,1001,67098.74308082841,0.0021482736963629456
2021 Q2,1002,65444.9870686533,0.0017741388858056872
2021 Q3,1002,65623.70545539488,0.002730818581323957
2021 Q4,1002,66596.41822163452,0.014822582167366427
2022 Q1,1002,67505.96649438828,0.013657615485066499
2022 Q2,1002,67768.87445263039,0.0038945884622505478
2022 Q3,1002,67958.29968922971,0.002795165747244699
2022 Q4,1002,67970.36406100537,1.7752609807519804e-4
2023 Q1,1002,68107.251333856,0.0020139258446190134
2021 Q2,1003,65288.59425453932,-6.197843725580521e-4
2021 Q3,1003,65084.62240014576,-0.0031241575457779946
2021 Q4,1003,64769.87239013672,-0.004836011924198136
2022 Q1,1003,64346.590596096205,-0.006535164860151488
2022 Q2,1003,64401.26701940147,8.49717487729329e-4
2022 Q3,1003,64473.57521838737,0.001122776031162731
2022 Q4,1003,65089.55244574476,0.00955394865680903
2023 Q1,1003,64991.531204967454,-0.0015059443043338172
2021 Q2,1004,65042.128101023416,-0.004392470864861608
2021 Q3,1004,65030.701747331426,-1.7567619672964607e-4
2021 Q4,1004,65016.71361708835,-2.151004043816629e-4
2022 Q1,1004,65326.44858214909,0.004763928347484514
2022 Q2,1004,65378.985856624284,8.042267047339013e-4
2022 Q3,1004,65247.907558426305,-0.002004899532786153
2022 Q4,1004,66349.96912503902,0.01689037408020888
2023 Q1,1004,66582.93653989934,0.0035111910063030383
2021 Q2,1005,65614.36943491086,0.004366894751462791
2021 Q3,1005,65631.4127740893,2.597501023819948e-4
2021 Q4,1005,66236.9512988248,0.009226352125312864
2022 Q1,1005,66282.98372566365,6.949659659178931e-4
2022 Q2,1005,65985.35971367569,-0.004490202390703968
2022 Q3,1005,65965.27937884333,-3.0431500138039524e-4
2022 Q4,1005,66762.85382235811,0.01209082188425592
2023 Q1,1005,67661.3978623019,0.013458742227146603
2021 Q2,1006,65145.0833616133,-0.002816522543365174
2021 Q3,1006,65701.11005648169,0.008535205823315017
2021 Q4,1006,66915.27089742049,0.01848006586030304
2022 Q1,1006,67129.750654463,0.003205243798105606
2022 Q2,1006,67348.51505141906,0.003258829279466635
2022 Q3,1006,67384.6654752454,5.367664572670794e-4
2022 Q4,1006,67980.3892069525,0.008840642414793098
2023 Q1,1006,68196.01075304193,0.0031718198234054196
2021 Q2,1007,65685.17084129633,0.005450660232832805
2021 Q3,1007,65661.7349991025,-3.56790458084677e-4
2021 Q4,1007,66157.43666916304,0.007549323362645355
2022 Q1,1007,65846.65782635727,-0.0046975647554166056
2022 Q2,1007,65482.56845377804,-0.005529352355883699
2022 Q3,1007,65660.2826185392,0.0027139156107873763
2022 Q4,1007,65753.3346202733,0.0014171733355867744
2023 Q1,1007,65922.25765592737,0.002569041351736967
2021 Q2,1008,64811.61284927629,-0.007920995021750477
2021 Q3,1008,64351.28642699742,-0.007102529964026383
2021 Q4,1008,63689.36864772339,-0.010286006947583526
2022 Q1,1008,63450.31369922555,-0.003753451377734529
2022 Q2,1008,62824.36586498769,-0.00986516531982895
2022 Q3,1008,63106.37372421242,0.004488829379205805
2022 Q4,1008,64067.6716832595,0.015232977309837858
2023 Q1,1008,63996.07195268348,-0.001117564111428826
2021 Q2,1009,65342.39625170862,2.0376914618691622e-4
2021 Q3,1009,65962.0072411954,0.00948252627742563
2021 Q4,1009,66757.35067338582,0.012057598994557273
2022 Q1,1009,67145.43380084289,0.005813339258410544
